date,open,high,low,close,volume
2025-03-28,160.49,161.82,153.63,154.33,48669335.0
2025-03-31,153.11,155.54,150.662,154.64,54603464.0
2025-04-01,153.62,158.1,153.62,157.07,30672899.0
2025-04-02,155.15,158.4052,154.7,157.04,25041730.0
2025-04-03,151.11,152.7799,150.39,150.72,46883371.0
2025-04-04,148.01,151.07,145.38,145.6,62259539.0
2025-04-07,141.55,152.85,140.53,146.75,76794136.0
2025-04-08,151.22,152.24,143.03,144.7,52200208.0
2025-04-09,144.415,159.55,143.905,158.71,70406232.0
2025-04-10,156.54,157.72,149.93,152.82,48021972.0
2025-04-11,152.9,157.67,152.82,157.14,33636239.0
2025-04-14,159.995,161.72,157.56,159.07,30332957.0
2025-04-15,159.125,159.65,155.21,156.31,27551534.0
2025-04-16,153.1,155.89,151.51,153.33,28187421.0
2025-04-17,154.29,154.68,148.5,151.16,33046576.0
2025-04-21,148.88,148.945,146.1,147.67,26049115.0
2025-04-22,148.89,152.19,148.54,151.47,26971774.0
2025-04-23,155.61,157.525,153.81,155.35,31128833.0
2025-04-24,156.15,159.59,155.79,159.28,45893951.0
2025-04-25,165.07,166.1,161.04,161.96,56033995.0
